seller,make,model,year,capacity,fuel,horse power,transmission,drive train,body type,doors,seats,color,state,price,serviced at aso,first owner,damaged
Dealer,Audi,A5,2009,1984,Petrol,180,Manual,FWD,Coupe,2.0,4.0,Gold,Used,38500,False,False,False
Private,Volkswagen,Fox,2009,1198,Petrol,55,Manual,FWD,Small cars,3.0,4.0,Other,Used,10900,False,False,False
Dealer,Volkswagen,Touran,2011,1600,Diesel,105,Manual,FWD,Minivan,5.0,7.0,Silver,Used,30900,False,False,False
Dealer,Peugeot,508,2019,2000,Diesel,163,Automatic,FWD,station wagon,5.0,5.0,White,Used,129900,True,True,False
Dealer,Ford,Focus,2005,1388,Petrol,80,Manual,FWD,Compact,5.0,5.0,Gray,Used,8500,True,True,False
Dealer,Isuzu,D-Max,2017,1898,Diesel,163,Automatic,4WD (manual),SUV,4.0,5.0,Black,Used,114900,True,True,False
Private,Mitsubishi,Lancer,2006,1584,Petrol,98,Manual,,station wagon,5.0,5.0,Silver,Used,10900,True,False,False
Private,Audi,A6,2005,2698,Diesel,180,Manual,FWD,Sedan,4.0,5.0,Silver,Used,25800,False,False,False
Dealer,Suzuki,SX4,2008,1586,Petrol,107,Manual,FWD,Compact,5.0,5.0,Gray,Used,18900,False,False,False
Private,Škoda,Octavia,2017,1598,Diesel,115,Manual,FWD,station wagon,5.0,5.0,Beige,Used,55500,False,False,False
Dealer,BMW,X1,2011,1995,Diesel,143,Manual,4WD (automatic),SUV,5.0,5.0,Other,Used,52900,False,True,False
Private,Opel,Mokka,2013,1686,Diesel,130,Automatic,FWD,SUV,5.0,5.0,White,Used,49999,False,False,False
Dealer,Audi,A5,2019,1984,Petrol,245,Automatic,4WD (permanent),Sedan,5.0,5.0,Blue,Used,150000,False,False,False
Dealer,Volkswagen,Passat,2012,1598,Diesel,105,Manual,FWD,Sedan,5.0,5.0,Gray,Used,34900,False,False,False
Private,Volkswagen,Tiguan,2013,1390,Petrol,160,Manual,4WD (automatic),SUV,5.0,5.0,White,Used,48600,True,True,False
Private,Dacia,Duster,2010,1461,Diesel,90,Manual,FWD,SUV,5.0,5.0,Silver,Used,25700,True,False,False
Private,Audi,A3,2008,1896,Diesel,105,Manual,FWD,Compact,5.0,5.0,Gray,Used,25500,False,False,False
Private,Opel,Astra,2013,1598,Petrol,115,Automatic,,station wagon,5.0,5.0,Brown,Used,38900,False,False,False
Private,Audi,Q7,2010,4134,Diesel,340,Automatic,4WD (permanent),SUV,5.0,5.0,Silver,Used,63960,True,False,False
Private,Ford,Fiesta,2013,1242,Petrol,82,Manual,FWD,City cars,3.0,5.0,Black,Used,19999,False,False,False
Private,BMW,Seria 5,2019,1995,Diesel,190,Automatic,RWD,Sedan,5.0,5.0,Black,Used,82000,True,False,False
Private,Audi,A6 Allroad,2001,2671,Petrol+LPG,250,Automatic,4WD (permanent),station wagon,5.0,5.0,Gray,Used,12000,False,False,False
Private,Peugeot,508,2011,1997,Diesel,163,Manual,FWD,station wagon,5.0,5.0,White,Used,41500,False,False,False
Private,Audi,A6,2017,1968,Diesel,190,Automatic,FWD,Sedan,4.0,5.0,Black,Used,137000,True,True,False
Private,Toyota,Verso,2016,1798,Petrol,147,Manual,FWD,Minivan,5.0,7.0,Gray,Used,80000,True,True,False
Private,Opel,Astra,2005,1598,Petrol,105,Manual,FWD,Compact,5.0,5.0,Black,Used,9500,False,False,False
Dealer,Ford,Mondeo,2014,1596,Petrol,160,Manual,FWD,station wagon,5.0,5.0,Silver,Used,32950,False,True,False
Private,Mercedes-Benz,280,2006,2987,Diesel,190,Automatic,RWD,station wagon,5.0,5.0,Gray,Used,17500,False,False,False
Private,Mazda,CX-3,2015,1499,Diesel,105,Manual,FWD,SUV,5.0,5.0,Brown,Used,56500,False,False,False
Private,Audi,A6,2010,2698,Diesel,190,Automatic,4WD (permanent),station wagon,5.0,5.0,Black,Used,37900,False,False,False
Private,Volkswagen,Jetta,2016,1968,Diesel,110,Automatic,FWD,Sedan,4.0,5.0,White,Used,27900,False,False,True
Private,Honda,Accord,2003,1998,Petrol,155,Manual,FWD,station wagon,5.0,5.0,Violet,Used,10900,False,False,False
Private,Ford,Fiesta,2002,1388,Petrol,80,Manual,FWD,City cars,5.0,5.0,Silver,Used,9900,False,False,False
Private,Peugeot,308,2008,1560,Diesel,90,Manual,,Compact,5.0,5.0,Black,Used,14500,False,False,False
Dealer,BMW,Seria 3,2001,1951,Diesel,136,Manual,RWD,station wagon,5.0,5.0,Black,Used,6900,False,False,False
Private,BMW,Seria 2,2015,1499,Petrol,136,Manual,FWD,Minivan,5.0,5.0,Gray,Used,59900,False,False,False
Dealer,Kia,XCeed,2019,1591,Petrol,204,Manual,FWD,Compact,5.0,5.0,Blue,Used,103000,False,True,False
Private,Ford,Mustang,2013,3731,Petrol,305,Automatic,RWD,Coupe,2.0,4.0,Red,Used,62000,False,False,False
Private,Škoda,Octavia,2010,1968,Diesel,170,Automatic,,station wagon,5.0,,Blue,Used,10900,False,False,False
Private,BMW,Seria 1,2015,1598,Petrol,136,Automatic,RWD,Compact,5.0,5.0,Blue,Used,49900,True,False,False
Private,Volkswagen,Tiguan,2009,1968,Diesel,140,Automatic,,SUV,5.0,,Silver,Used,36500,False,False,False
Dealer,BMW,Seria 7,2018,4400,Petrol,450,Automatic,4WD (automatic),Sedan,4.0,5.0,Other,Used,199999,True,True,False
Dealer,Renault,Espace,2005,1998,Petrol,170,Manual,FWD,Minivan,5.0,7.0,Blue,Used,16900,True,False,False
Private,Opel,Astra,1999,1389,Petrol,60,Manual,FWD,City cars,5.0,4.0,Green,Used,3500,False,False,False
